legacy_slug,matched_by,new_slug,new_url,title
activation-waste-decommissioning,doi:22645846,component-activation-waste-class-routing-and-decommissi,https://www.kronosfusionenergy.com/publications/component-activation-waste-class-routing-and-decommissi.html,"Component Activation, Waste-Class Routing, and Decommissioning of a Low-Activation Compact Spherical-Tokamak Breeder: No Isotope Beyond a Century's Half-Life"
aegis-islanded-he3,doi:22645862,islanded-forward-base-operation-of-the-aegis-d-he-tande,https://www.kronosfusionenergy.com/publications/islanded-forward-base-operation-of-the-aegis-d-he-tande.html,"Islanded Forward-Base Operation of the Aegis D-³He Tandem-Mirror Burner: Black-Start, Microgrid Load-Following, and the Lunar-Gated He-3 Symbiosis"
ai-quantum,doi:22645702,ai-quantum-control,https://www.kronosfusionenergy.com/publications/ai-quantum-control.html,"AI and Quantum Computing for Fusion: ML Surrogates, Real-Time Control, and a Resource-Honest Quantum Frontier"
alpha-confinement,doi:22645729,alpha-fast-product-confinement,https://www.kronosfusionenergy.com/publications/alpha-fast-product-confinement.html,Fast-Ion and Alpha-Particle Confinement in a Compact Spherical-Tokamak Breeder: Sub-Percent Ripple Losses and First-Wall Loading from Orbit-Following Simulation
beryllium-be12ti-multiplier,doi:22645889,beryllium-and-be-ti-neutron-multipliers-for-a-compact-s,https://www.kronosfusionenergy.com/publications/beryllium-and-be-ti-neutron-multipliers-for-a-compact-s.html,"Beryllium and Be₁₂Ti Neutron Multipliers for a Compact Spherical-Tokamak Breeder: Pebble Performance, Activation, and Closing Net TBR ≥ 1.05"
blanket-multiplier-downselect,doi:22645937,breeding-blanket-and-neutron-multiplier-concept-down-se,https://www.kronosfusionenergy.com/publications/breeding-blanket-and-neutron-multiplier-concept-down-se.html,Breeding-Blanket and Neutron-Multiplier Concept Down-Select for a Compact Spherical-Tokamak Breeder: Ceramic versus Liquid-Metal Options Walking the TBR Ladder to Self-Sufficiency
blanket-tbr-fleet,doi:22645706,blanket-tritium-breeding-lever,https://www.kronosfusionenergy.com/publications/blanket-tritium-breeding-lever.html,From Tritium Consumer to Breeding Fleet: Net Blanket TBR and the Cross-Library Case for Multi-Unit Tritium Export from a Compact Spherical-Tokamak Breeder
breeder-control-suite,doi:22645809,a-real-time-control-suite-for-a-compact-negative-triang,https://www.kronosfusionenergy.com/publications/a-real-time-control-suite-for-a-compact-negative-triang.html,"A Real-Time Control Suite for a Compact Negative-Triangularity Spherical-Tokamak Breeder: Profile, Shape, Vertical-Stability, q-Profile, and Solenoid-Free Ramp Controllers"
breeder-hyperion,doi:22645691,breeder,https://www.kronosfusionenergy.com/publications/breeder.html,"Hyperion as a Strategic-Materials Platform: Gain, Tritium Breeding, He-3 Co-Production, and 14 MeV Neutron Output from a Compact Spherical-Tokamak"
burner-control-suite,doi:22645811,a-real-time-control-suite-for-a-d-3he-tandem-mirror-bur,https://www.kronosfusionenergy.com/publications/a-real-time-control-suite-for-a-d-3he-tandem-mirror-bur.html,"A Real-Time Control Suite for a D-3He Tandem-Mirror Burner: Plug-Potential, Sloshing-Ion, DCLC/AIC-Microstability, and Direct-Energy-Converter Dispatch Controllers"
burner-neutronics-siting,doi:22645917,the-neutron-lean-siting-case-for-a-d-he-tandem-mirror-b,https://www.kronosfusionenergy.com/publications/the-neutron-lean-siting-case-for-a-d-he-tandem-mirror-b.html,"The Neutron-Lean Siting Case for a D–³He Tandem-Mirror Burner: Parasitic D–D/D–T Neutron Budgets, Shielded Housing Dose, and Tritium-Suppressed Operation for Defense and Urban Deployment"
burner-power-balance,doi:22645860,recirculation-resolved-q-e-closure-in-a-d-he-tandem-mir,https://www.kronosfusionenergy.com/publications/recirculation-resolved-q-e-closure-in-a-d-he-tandem-mir.html,Recirculation-Resolved Q_E Closure in a D-³He Tandem-Mirror Burner: The Synchrotron-Limited Operating Point and the Carried-Open Plug Gate
burner-synchrotron-transport,doi:22645772,synchrotron-radiation-transport,https://www.kronosfusionenergy.com/publications/synchrotron-radiation-transport.html,Synchrotron Radiation Transport in a D-3He Tandem-Mirror Burner: Pinning the Electron Temperature at the Maximum-Q_E Operating Point
cad-neutronics,doi:22645881,cad-faithful-neutronics-for-a-compact-spherical-tokamak,https://www.kronosfusionenergy.com/publications/cad-faithful-neutronics-for-a-compact-spherical-tokamak.html,CAD-Faithful Neutronics for a Compact Spherical-Tokamak Breeder: STEP-to-DAGMC Monte-Carlo Transport Reproducing the 3-D Net Tritium-Breeding Ratio
calibrated-uncertainty-conformal,doi:22645813,calibrated-uncertainty-conformal-prediction-and-abstent,https://www.kronosfusionenergy.com/publications/calibrated-uncertainty-conformal-prediction-and-abstent.html,"Calibrated Uncertainty, Conformal Prediction, and Abstention for Safety-Critical Fusion Control: Handing Authority Back to a Deterministic Floor Out of Distribution"
cbf-safety-clamp,doi:22645716,control-barrier-safety-clamp,https://www.kronosfusionenergy.com/publications/control-barrier-safety-clamp.html,"A Certified Control-Barrier Safety Filter for Fusion Control: Forward-Invariance Guarantees, Calibrated Uncertainty, and an Honest PINN Negative for a Compact Spherical-Tokamak Breeder"
central-cell-transport-mhd,doi:22645854,central-cell-radial-transport-and-interchange-balloonin,https://www.kronosfusionenergy.com/publications/central-cell-radial-transport-and-interchange-balloonin.html,Central-Cell Radial Transport and Interchange/Ballooning MHD Stability in a D-3He Tandem-Mirror Burner: The Sideways-Loss and Stability Gates
centrepost-magnet-integrity,doi:22645704,centrepost-and-magnet-integrity,https://www.kronosfusionenergy.com/publications/centrepost-and-magnet-integrity.html,"The Consumable Centrepost: Coverage-versus-Protection Neutronics, Coil Integrity, and Fused Quench Detection for a Compact Spherical-Tokamak Breeder"
cross-machine-transfer,doi:22645821,cross-machine-transfer-learning-for-a-compact-spherical,https://www.kronosfusionenergy.com/publications/cross-machine-transfer-learning-for-a-compact-spherical.html,"Cross-Machine Transfer Learning for a Compact Spherical-Tokamak Breeder: A Disruption Model Pre-Trained on TCV, DIII-D, and NSTX with Honest Transfer Uncertainty"
cryogenics-cold-mass,doi:22645840,cryogenics-and-the-cold-mass-thermal-budget-of-a-high-f,https://www.kronosfusionenergy.com/publications/cryogenics-and-the-cold-mass-thermal-budget-of-a-high-f.html,"Cryogenics and the Cold-Mass Thermal Budget of a High-Field Spherical-Tokamak Breeder: Centrepost Heat Loads, Current Leads, and the 4.5 K Refrigeration Plant"
current-drive-bootstrap,doi:22645758,current-drive-and-bootstrap,https://www.kronosfusionenergy.com/publications/current-drive-and-bootstrap.html,"Bootstrap-Aligned Steady-State Current Sustainment Without a Central Solenoid: NBCD, ECCD and LHCD for a Compact Spherical-Tokamak Breeder"
dclc-microstability,doi:22645714,dclc-loss-cone-microstability,https://www.kronosfusionenergy.com/publications/dclc-loss-cone-microstability.html,Velocity-Space Microstability at the DCLC Knee: Warm-Fill Requirements and Residual AIC Activity in a D–³He Tandem-Mirror Burner
